cult_uniq,land_uniq,wild_uniq,inter_CW,inter_LW,inter_CL,inter_CLW,HOG
1,0,0,0,0,0,0,N0.HOG0000045
9,10,11,0,2,4,0,N0.HOG0000244
10,10,13,0,0,4,0,N0.HOG0000565
8,11,14,3,1,5,1,N0.HOG0000665
7,16,11,2,2,4,2,N0.HOG0000638
3,2,0,0,0,0,0,N0.HOG0000178
3,2,1,0,0,1,0,N0.HOG0000752
9,14,11,1,2,7,1,N0.HOG0000547
7,3,4,1,1,2,1,N0.HOG0000727
21,17,7,0,1,3,0,N0.HOG0000010
1,2,3,0,0,0,0,N0.HOG0000255
5,9,5,2,2,3,2,N0.HOG0000735
1,0,1,0,0,0,0,N0.HOG0000027
1,0,1,0,0,0,0,N0.HOG0000887
3,6,7,0,0,3,0,N0.HOG0000600
1,3,3,0,0,0,0,N0.HOG0000024
2,3,5,2,2,2,2,N0.HOG0000511
8,12,12,2,4,4,2,N0.HOG0000557
1,0,5,0,0,0,0,N0.HOG0000182
7,5,10,1,1,3,0,N0.HOG0000705
2,2,5,1,1,2,1,N0.HOG0000506
1,1,2,0,0,0,0,N0.HOG0000860
1,4,9,1,2,1,1,N0.HOG0000560
0,0,4,0,0,0,0,N0.HOG0000864
7,7,9,2,2,4,2,N0.HOG0000495
0,0,2,0,0,0,0,N0.HOG0000900
6,6,12,1,1,4,1,N0.HOG0000498
9,10,11,1,1,5,0,N0.HOG0000628
6,7,6,1,1,3,1,N0.HOG0000380
5,5,4,1,1,3,1,N0.HOG0000080
5,7,4,0,2,2,0,N0.HOG0000310
1,1,1,0,0,1,0,N0.HOG0000304
5,9,6,0,1,1,0,N0.HOG0000043
2,6,7,2,2,2,2,N0.HOG0000563
4,7,9,1,2,3,1,N0.HOG0000624
10,8,9,0,1,4,0,N0.HOG0000073
7,9,9,3,3,5,3,N0.HOG0000476
11,24,18,0,0,6,0,N0.HOG0000263
4,5,11,3,3,4,3,N0.HOG0000481
8,13,9,3,4,5,3,N0.HOG0000671
3,6,9,1,3,2,1,N0.HOG0000510
0,0,2,0,0,0,0,N0.HOG0000893
7,9,11,1,3,4,1,N0.HOG0000478
11,14,13,4,5,8,4,N0.HOG0000572
6,4,9,1,1,3,1,N0.HOG0000720
1,2,0,0,0,0,0,N0.HOG0000033
8,12,14,4,4,6,4,N0.HOG0000430
4,5,2,0,0,2,0,N0.HOG0000362
4,7,8,0,0,1,0,N0.HOG0000293
6,7,7,2,2,3,2,N0.HOG0000618
1,4,4,1,2,1,1,N0.HOG0000333
2,8,3,2,3,2,2,N0.HOG0000128
1,3,5,0,0,0,0,N0.HOG0000077
9,7,13,3,2,6,2,N0.HOG0000318
2,2,10,0,1,1,0,N0.HOG0000757
5,4,8,1,1,3,1,N0.HOG0000552
4,5,10,0,2,2,0,N0.HOG0000594
1,1,3,1,1,1,1,N0.HOG0000835
8,8,7,1,1,2,1,N0.HOG0000667
6,19,15,4,3,4,3,N0.HOG0000373
1,0,0,0,0,0,0,N0.HOG0000886
1,1,0,0,0,0,0,N0.HOG0000106
15,7,13,2,3,4,2,N0.HOG0000674
6,5,6,1,1,5,1,N0.HOG0000609
3,1,4,0,0,1,0,N0.HOG0000824
4,5,7,3,3,3,3,N0.HOG0000144
0,1,1,0,0,0,0,N0.HOG0000271
8,12,11,3,4,6,3,N0.HOG0000528
1,2,2,0,0,1,0,N0.HOG0000054
3,7,7,1,3,3,1,N0.HOG0000546
0,0,2,0,0,0,0,N0.HOG0000234
6,5,3,2,2,4,2,N0.HOG0000753
4,6,7,1,2,2,1,N0.HOG0000584
7,6,11,2,2,4,1,N0.HOG0000650
1,1,2,1,1,1,1,N0.HOG0000239
13,17,3,0,0,6,0,N0.HOG0000019
2,1,0,0,0,1,0,N0.HOG0000172
6,5,13,1,2,3,1,N0.HOG0000537
4,8,4,0,0,1,0,N0.HOG0000190
8,4,1,0,1,1,0,N0.HOG0000321
14,24,9,1,2,7,1,N0.HOG0000306
6,10,12,2,3,5,2,N0.HOG0000610
4,4,12,0,1,3,0,N0.HOG0000473
4,10,8,0,0,2,0,N0.HOG0000766
4,12,9,0,2,2,0,N0.HOG0000042
1,2,2,0,0,0,0,N0.HOG0000218
1,2,3,1,1,1,1,N0.HOG0000330
5,4,8,1,1,2,1,N0.HOG0000555
4,6,3,0,0,2,0,N0.HOG0000810
22,33,24,0,0,6,0,N0.HOG0000291
1,3,1,0,0,1,0,N0.HOG0000821
6,8,8,1,2,4,1,N0.HOG0000388
12,19,20,1,4,2,1,N0.HOG0000394
1,4,7,0,0,0,0,N0.HOG0000213
4,7,9,1,3,1,1,N0.HOG0000648
7,9,11,3,2,3,2,N0.HOG0000210
8,13,8,2,2,2,1,N0.HOG0000057
4,5,5,1,1,3,1,N0.HOG0000337
10,14,16,2,3,4,2,N0.HOG0000399
0,0,3,0,0,0,0,N0.HOG0000275
1,2,3,1,1,1,1,N0.HOG0000800
1,1,2,0,0,0,0,N0.HOG0000436
3,3,3,0,1,2,0,N0.HOG0000088
0,0,2,0,0,0,0,N0.HOG0000901
0,2,1,0,0,0,0,N0.HOG0000093
0,0,2,0,0,0,0,N0.HOG0000014
1,1,2,1,1,1,1,N0.HOG0000738
3,2,9,0,0,2,0,N0.HOG0000222
5,6,13,1,2,4,1,N0.HOG0000571
0,0,1,0,0,0,0,N0.HOG0000165
1,0,3,0,0,0,0,N0.HOG0000856
8,12,10,1,1,4,0,N0.HOG0000243
6,9,4,0,0,3,0,N0.HOG0000123
1,0,1,0,0,0,0,N0.HOG0000259
2,3,2,0,0,1,0,N0.HOG0000068
16,13,13,3,2,6,1,N0.HOG0000542
5,6,3,1,1,4,1,N0.HOG0000269
1,2,1,0,1,1,0,N0.HOG0000836
1,3,3,1,1,1,1,N0.HOG0000825
0,1,0,0,0,0,0,N0.HOG0000250
4,7,10,0,1,3,0,N0.HOG0000432
8,8,13,2,2,5,2,N0.HOG0000342
4,5,10,2,1,2,1,N0.HOG0000621
0,0,3,0,0,0,0,N0.HOG0000126
3,7,13,1,1,2,1,N0.HOG0000519
12,13,12,2,2,7,2,N0.HOG0000464
0,0,1,0,0,0,0,N0.HOG0000357
1,1,4,0,0,1,0,N0.HOG0000341
0,0,2,0,0,0,0,N0.HOG0000899
0,0,2,0,0,0,0,N0.HOG0000878
6,6,12,2,2,3,2,N0.HOG0000455
2,11,2,1,1,1,1,N0.HOG0000366
2,1,2,1,0,0,0,N0.HOG0000818
5,7,22,3,3,3,2,N0.HOG0000266
11,9,10,2,1,6,1,N0.HOG0000500
0,0,5,0,0,0,0,N0.HOG0000035
0,0,2,0,0,0,0,N0.HOG0000877
10,16,7,0,0,3,0,N0.HOG0000037
4,6,2,0,0,4,0,N0.HOG0000329
7,6,6,0,1,2,0,N0.HOG0000089
3,4,0,0,0,3,0,N0.HOG0000340
1,1,2,0,0,0,0,N0.HOG0000256
7,5,9,0,0,4,0,N0.HOG0000361
9,11,10,0,1,5,0,N0.HOG0000643
6,5,12,1,2,2,1,N0.HOG0000419
2,4,10,0,1,2,0,N0.HOG0000613
0,1,2,0,0,0,0,N0.HOG0000874
6,6,6,1,0,3,0,N0.HOG0000698
2,4,5,1,1,2,1,N0.HOG0000423
1,1,1,0,0,0,0,N0.HOG0000867
2,2,3,0,0,0,0,N0.HOG0000840
4,9,6,0,1,2,0,N0.HOG0000021
0,2,0,0,0,0,0,N0.HOG0000201
12,11,14,1,2,5,1,N0.HOG0000465
9,17,4,1,1,5,1,N0.HOG0000664
5,7,9,0,2,3,0,N0.HOG0000458
7,8,9,2,2,4,2,N0.HOG0000593
6,5,9,1,1,2,1,N0.HOG0000682
9,6,13,0,0,5,0,N0.HOG0000160
9,9,10,2,2,3,2,N0.HOG0000486
9,8,1,0,0,1,0,N0.HOG0000003
4,5,8,1,2,3,1,N0.HOG0000666
1,3,4,0,0,1,0,N0.HOG0000820
0,1,0,0,0,0,0,N0.HOG0000245
9,13,7,0,0,3,0,N0.HOG0000104
0,4,2,0,1,0,0,N0.HOG0000000
0,1,1,0,0,0,0,N0.HOG0000168
8,11,14,1,3,6,1,N0.HOG0000630
2,5,10,1,2,2,1,N0.HOG0000722
6,9,6,0,0,2,0,N0.HOG0000700
4,5,5,0,0,2,0,N0.HOG0000215
1,1,3,1,0,0,0,N0.HOG0000855
3,3,5,2,2,2,2,N0.HOG0000309
9,11,7,0,1,5,0,N0.HOG0000633
0,0,3,0,0,0,0,N0.HOG0000881
4,7,10,3,3,4,3,N0.HOG0000531
3,8,3,1,1,3,1,N0.HOG0000084
6,6,18,1,1,2,1,N0.HOG0000697
1,3,3,0,0,1,0,N0.HOG0000830
5,9,11,2,1,4,1,N0.HOG0000053
0,1,1,0,0,0,0,N0.HOG0000022
6,10,13,3,5,5,3,N0.HOG0000393
8,9,11,1,1,6,1,N0.HOG0000544
0,1,0,0,0,0,0,N0.HOG0000209
12,14,13,0,1,5,0,N0.HOG0000470
8,11,8,0,0,4,0,N0.HOG0000663
2,2,0,0,0,0,0,N0.HOG0000142
1,4,7,1,1,1,1,N0.HOG0000814
0,2,1,0,1,0,0,N0.HOG0000853
6,12,10,1,2,4,1,N0.HOG0000574
0,1,2,0,1,0,0,N0.HOG0000870
11,14,15,0,0,4,0,N0.HOG0000402
10,11,10,1,0,3,0,N0.HOG0000566
4,4,9,1,2,2,1,N0.HOG0000695
4,9,5,0,0,3,0,N0.HOG0000013
0,0,3,0,0,0,0,N0.HOG0000879
5,7,13,2,3,3,2,N0.HOG0000536
0,1,0,0,0,0,0,N0.HOG0000016
11,10,14,1,1,5,0,N0.HOG0000151
0,0,1,0,0,0,0,N0.HOG0000902
6,12,11,2,2,4,2,N0.HOG0000640
4,5,10,1,1,4,1,N0.HOG0000124
6,7,8,1,1,4,1,N0.HOG0000711
0,4,9,0,0,0,0,N0.HOG0000813
7,9,11,2,3,5,2,N0.HOG0000522
2,1,3,1,0,0,0,N0.HOG0000828
3,2,1,0,0,2,0,N0.HOG0000801
5,5,7,1,2,2,1,N0.HOG0000279
10,14,13,2,2,8,2,N0.HOG0000466
3,2,4,0,0,1,0,N0.HOG0000793
6,9,10,1,1,4,1,N0.HOG0000596
1,4,1,0,0,0,0,N0.HOG0000848
5,6,10,2,3,3,2,N0.HOG0000529
2,8,6,1,1,2,1,N0.HOG0000295
5,3,7,1,1,2,1,N0.HOG0000315
7,7,12,0,1,4,0,N0.HOG0000513
3,2,3,1,1,2,1,N0.HOG0000231
2,2,0,0,0,2,0,N0.HOG0000240
5,6,10,1,2,4,1,N0.HOG0000492
3,6,4,1,2,2,1,N0.HOG0000198
6,7,11,3,1,3,1,N0.HOG0000482
3,5,8,2,2,3,2,N0.HOG0000543
6,12,11,0,0,4,0,N0.HOG0000523
9,8,12,1,2,2,1,N0.HOG0000521
9,11,9,2,2,6,2,N0.HOG0000632
11,12,15,2,2,4,2,N0.HOG0000401
4,4,5,3,3,3,3,N0.HOG0000605
4,4,9,1,1,2,1,N0.HOG0000249
8,7,5,2,2,5,2,N0.HOG0000691
